link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501187196.html,"5,200,000",EGP,Apartment,3.0,2.0,149 Sq. M.,"Hadayek October, Giza","EGP 520,000",Off-Plan
https://www.bayut.eg/en/property/details-501187189.html,"9,500,000",EGP,Apartment,3.0,3.0,220 Sq. M.,"Madinaty, Cairo",,
https://www.bayut.eg/en/property/details-501187187.html,"9,500,000",EGP,Apartment,2.0,2.0,112 Sq. M.,"New Obour City, Obour City, Cairo",,
https://www.bayut.eg/en/property/details-501187171.html,"11,600,000",EGP,Apartment,3.0,3.0,220 Sq. M.,"Hyde Park New Cairo Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501187163.html,"8,300,000",EGP,Apartment,3.0,3.0,156 Sq. M.,"Taj City Compound, New Cairo, Cairo","EGP 4,300,000",Off-Plan
https://www.bayut.eg/en/property/details-501187152.html,"13,200,000",EGP,Apartment,3.0,4.0,10 Sq. M.,"Sheraton, Cairo","EGP 1,320,000",
https://www.bayut.eg/en/property/details-501187139.html,"10,482,000",EGP,Apartment,2.0,3.0,116 Sq. M.,"Palm Hills New Cairo Compound, New Cairo, Cairo","EGP 2,500,000",Off-Plan
https://www.bayut.eg/en/property/details-501187008.html,"16,000,000",EGP,Penthouse,4.0,4.0,229 Sq. M.,"5th Settlement, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501186944.html,"23,120,000",EGP,Townhouse,3.0,3.0,240 Sq. M.,"Stone Park Compound, New Cairo, Cairo","EGP 1,560,000",
https://www.bayut.eg/en/property/details-501186918.html,"7,056,000",EGP,Apartment,3.0,3.0,149 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 2,822,400",
https://www.bayut.eg/en/property/details-501186891.html,"12,000,000",EGP,Apartment,2.0,2.0,132 Sq. M.,"5th Settlement, New Cairo, Cairo",,Off-Plan
https://www.bayut.eg/en/property/details-501186872.html,"6,350,000",EGP,Apartment,3.0,3.0,156 Sq. M.,"Sarai, Mostakbal City, Cairo","EGP 1,000,000",Off-Plan
https://www.bayut.eg/en/property/details-501186849.html,"6,800,000",EGP,Apartment,3.0,3.0,132 Sq. M.,"Taj City Compound, New Cairo, Cairo","EGP 1,200,000",Off-Plan
https://www.bayut.eg/en/property/details-501186831.html,"8,300,000",EGP,Chalet,1.0,1.0,75 Sq. M.,"Kai, Ain Sukhna, Suez","EGP 830,000",Off-Plan
https://www.bayut.eg/en/property/details-501186830.html,"7,600,000",EGP,Chalet,1.0,1.0,75 Sq. M.,"Kai, Ain Sukhna, Suez","EGP 760,000",Off-Plan
https://www.bayut.eg/en/property/details-501186758.html,"40,400,000",EGP,Villa,4.0,5.0,480 Sq. M.,"Madinaty, Cairo","EGP 8,100,000",Off-Plan
https://www.bayut.eg/en/property/details-501186451.html,"10,711,340",EGP,Apartment,3.0,3.0,186 Sq. M.,"Levels By Dunes Compound, Sheikh Zayed, Giza",,Off-Plan
https://www.bayut.eg/en/property/details-501186404.html,"26,300,000",EGP,Apartment,3.0,3.0,217 Sq. M.,"ZED West Compound, Sheikh Zayed, Giza","EGP 1,315,000",
https://www.bayut.eg/en/property/details-501186378.html,"21,489,000",EGP,Apartment,2.0,3.0,144 Sq. M.,"ZED West Compound, Sheikh Zayed, Giza","EGP 1,074,450",
https://www.bayut.eg/en/property/details-501186217.html,"2,500,000",EGP,Apartment,3.0,2.0,130 Sq. M.,"Saba Pasha, Alexandria",,
https://www.bayut.eg/en/property/details-501186132.html,"5,600,000",EGP,Apartment,3.0,1.0,105 Sq. M.,"Rehab City Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501187081.html,"2,200,000",EGP,Apartment,3.0,2.0,125 Sq. M.,"6th of October, Giza",,
https://www.bayut.eg/en/property/details-501186847.html,"14,671,000",EGP,Apartment,4.0,4.0,175 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 2,934,200",
https://www.bayut.eg/en/property/details-501186828.html,"9,400,000",EGP,Chalet,3.0,3.0,140 Sq. M.,"Kai, Ain Sukhna, Suez","EGP 940,000",Off-Plan
https://www.bayut.eg/en/property/details-501186797.html,"16,902,000",EGP,Apartment,4.0,4.0,203 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 3,390,400",
https://www.bayut.eg/en/property/details-501186590.html,"23,700,000",EGP,Townhouse,4.0,4.0,220 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 2,370,000",
https://www.bayut.eg/en/property/details-501186375.html,"12,262,000",EGP,Apartment,1.0,1.0,89 Sq. M.,"ZED West Compound, Sheikh Zayed, Giza","EGP 613,100",
https://www.bayut.eg/en/property/details-501186094.html,"8,600,000",EGP,Apartment,2.0,1.0,127 Sq. M.,"IL Bosco City, Mostakbal City, Cairo","EGP 430,000",Off-Plan
https://www.bayut.eg/en/property/details-501186194.html,"17,550,000",EGP,Townhouse,4.0,4.0,245 Sq. M.,"Al Burouj, Shorouk City, Cairo","EGP 890,000",Off-Plan
